INSEE_C;LIBGEO;loypredm2;lwr.IPm2;upr.IPm2
37099;Druye;8,956478525;6,945448664;11,5497949
37200;Rivarennes;8,956478525;6,945448664;11,5497949
37264;VallËres;8,956478525;6,945448664;11,5497949
37128;LigniËres-de-Touraine;8,956478525;6,945448664;11,5497949
37067;CheillÈ;8,956478525;6,945448664;11,5497949
37205;SachÈ;8,956478525;6,945448664;11,5497949
37038;BrÈhÈmont;8,956478525;6,945448664;11,5497949
37014;Azay-le-Rideau;9,23650118;7,177689927;11,88585115
37210;Saint-BenoÓt-la-ForÍt;8,956478525;6,945448664;11,5497949
79092;ClavÈ;6,818775675;5,263809449;8,833089828
79120;La FerriËre-en-Parthenay;6,818775675;5,263809449;8,833089828
79341;Vautebis;6,818775675;5,263809449;8,833089828
79340;Vausseroux;6,818775675;5,263809449;8,833089828
79278;Saint-Martin-du-Fouilloux;6,818775675;5,263809449;8,833089828
79105;Les Ch‚teliers;6,818775675;5,263809449;8,833089828
79071;La Chapelle-Bertrand;6,818775675;5,263809449;8,833089828
79176;MÈnigoute;6,818775675;5,263809449;8,833089828
79124;Les Forges;6,818775675;5,263809449;8,833089828
79339;Vasles;6,812090407;5,256947105;8,827286025
79253;Saint-Georges-de-NoisnÈ;6,818775675;5,263809449;8,833089828
79121;Fomperron;6,818775675;5,263809449;8,833089828
79267;Saint-Lin;6,818775675;5,263809449;8,833089828
79225;Reffannes;6,818775675;5,263809449;8,833089828
16353;Saint-Sornin;7,540064013;6,050862338;9,395779006
16281;La Rochefoucauld-en-Angoumois;8,03432362;6,453603121;10,00221966
16250;Orgedeuil;7,540064013;6,050862338;9,395779006
16406;Moulins-sur-Tardoire;7,540064013;6,050862338;9,395779006
16213;Mazerolles;7,540064013;6,050862338;9,395779006
16323;Saint-Germain-de-Montbron;7,540064013;6,050862338;9,395779006
30202;Pont-Saint-Esprit;10,91331706;8,238012018;14,45743088
30005;AiguËze;10,49977931;7,938330904;13,88772613
07113;Labastide-de-Virac;10,49977931;7,938330904;13,88772613
07168;Orgnac-l'Aven;10,49977931;7,938330904;13,88772613
84063;Lamotte-du-RhÙne;10,49977931;7,938330904;13,88772613
07264;Saint-Marcel-d'ArdËche;9,875807355;7,417339928;13,14913053
30273;Saint-Julien-de-Peyrolas;10,49977931;7,938330904;13,88772613
30134;Issirac;10,49977931;7,938330904;13,88772613
07268;Saint-Martin-d'ArdËche;10,49977931;7,938330904;13,88772613
07034;Bidon;10,49977931;7,938330904;13,88772613
30290;Saint-Paulet-de-Caisson;10,49977931;7,938330904;13,88772613
30304;Salazac;10,49977931;7,938330904;13,88772613
23122;Mansat-la-CourriËre;7,4323883;5,899705225;9,363246761
23249;Saint-Yrieix-la-Montagne;7,4323883;5,899705225;9,363246761
23189;Saint-Dizier-Masbaraud;7,4323883;5,899705225;9,363246761
23212;Saint-Marc-‡-Loubaud;7,4323883;5,899705225;9,363246761
23016;Banize;7,4323883;5,899705225;9,363246761
23078;Faux-Mazuras;7,4323883;5,899705225;9,363246761
87064;Eymoutiers;7,4323883;5,899705225;9,363246761
23144;La Nouaille;7,4323883;5,899705225;9,363246761
87153;Saint-Julien-le-Petit;7,4323883;5,899705225;9,363246761
87104;Nedde;7,4323883;5,899705225;9,363246761
23227;Saint-Pardoux-Morterolles;7,4323883;5,899705225;9,363246761
23125;Le Mas-d'Artige;7,4323883;5,899705225;9,363246761
23077;Faux-la-Montagne;7,4323883;5,899705225;9,363246761
23090;Gentioux-Pigerolles;7,4323883;5,899705225;9,363246761
23246;Saint-Sulpice-les-Champs;7,4323883;5,899705225;9,363246761
23260;Vidaillat;7,4323883;5,899705225;9,363246761
23080;FÈniers;7,4323883;5,899705225;9,363246761
23060;Chavanat;7,4323883;5,899705225;9,363246761
23223;Saint-Moreil;7,4323883;5,899705225;9,363246761
23024;Blessac;7,4323883;5,899705225;9,363246761
23202;Saint-Hilaire-le-Ch‚teau;7,4323883;5,899705225;9,363246761
23165;RoyËre-de-VassiviËre;7,4323883;5,899705225;9,363246761
23232;Saint-Pierre-Bellevue;7,4323883;5,899705225;9,363246761
23133;Montboucher;7,4323883;5,899705225;9,363246761
23229;Saint-Pardoux-les-Cards;7,4323883;5,899705225;9,363246761
23220;Saint-MÈdard-la-Rochette;7,4323883;5,899705225;9,363246761
23181;Saint-Amand-Jartoudeix;7,4323883;5,899705225;9,363246761
23134;Le Monteil-au-Vicomte;7,4323883;5,899705225;9,363246761
23099;Janaillat;7,4323883;5,899705225;9,363246761
87009;Beaumont-du-Lac;7,4323883;5,899705225;9,363246761
23216;Saint-Martin-Ch‚teau;7,4323883;5,899705225;9,363246761
23222;Saint-Michel-de-Veisse;7,4323883;5,899705225;9,363246761
23205;Saint-Junien-la-BregËre;7,4323883;5,899705225;9,363246761
23030;Bourganeuf;7,4323883;5,899705225;9,363246761
23105;Lavaveix-les-Mines;7,4323883;5,899705225;9,363246761
23097;Issoudun-LÈtrieix;7,4323883;5,899705225;9,363246761
23264;La Villedieu;7,4323883;5,899705225;9,363246761
87117;Peyrat-le-Ch‚teau;7,4323883;5,899705225;9,363246761
23061;ChÈnÈrailles;7,4323883;5,899705225;9,363246761
23173;Soubrebost;7,4323883;5,899705225;9,363246761
23197;Saint-Georges-la-Pouge;7,4323883;5,899705225;9,363246761
23027;Bosmoreau-les-Mines;7,4323883;5,899705225;9,363246761
23157;La Pouge;7,4323883;5,899705225;9,363246761
23253;Thauron;7,4323883;5,899705225;9,363246761
23155;Pontarion;7,4323883;5,899705225;9,363246761
68288;Ruederbach;10,27959309;7,539855431;14,01486211
68212;Múrnach;10,27959309;7,539855431;14,01486211
68039;Bisel;10,27959309;7,539855431;14,01486211
68137;Hindlingen;10,27959309;7,539855431;14,01486211
68128;Heimersdorf;10,27959309;7,539855431;14,01486211
68139;Hirtzbach;10,27959309;7,539855431;14,01486211
90046;Florimont;10,27959309;7,539855431;14,01486211
68306;Seppois-le-Haut;10,27959309;7,539855431;14,01486211
68004;Altkirch;10,27959309;7,539855431;14,01486211
68181;Levoncourt;10,27959309;7,539855431;14,01486211
90081;RÈchÈsy;10,27959309;7,539855431;14,01486211
90027;Courcelles;10,27959309;7,539855431;14,01486211
68273;Riespach;10,27959309;7,539855431;14,01486211
68284;Roppentzwiller;10,27959309;7,539855431;14,01486211
68176;Largitzen;10,27959309;7,539855431;14,01486211
68138;Hirsingue;10,27959309;7,539855431;14,01486211
68067;Courtavon;10,27959309;7,539855431;14,01486211
68303;Schwoben;10,27959309;7,539855431;14,01486211
68025;Bendorf;10,27959309;7,539855431;14,01486211
68377;Wittersdorf;10,27959309;7,539855431;14,01486211
68243;Oberlarg;10,27959309;7,539855431;14,01486211
68216;Mooslargue;10,27959309;7,539855431;14,01486211
68074;Durlinsdorf;10,27959309;7,539855431;14,01486211
68190;Lucelle;10,27959309;7,539855431;14,01486211
68087;Feldbach;10,27959309;7,539855431;14,01486211
68373;Winkel;10,27959309;7,539855431;14,01486211
68169;Kústlach;10,27959309;7,539855431;14,01486211
68033;Bettendorf;10,27959309;7,539855431;14,01486211
68098;Friesen;10,27959309;7,539855431;14,01486211
68305;Seppois-le-Bas;10,27959309;7,539855431;14,01486211
68062;Carspach;10,27959309;7,539855431;14,01486211
68240;Illtal;10,27959309;7,539855431;14,01486211
68090;Ferrette;10,27959309;7,539855431;14,01486211
68257;Pfetterhouse;10,27959309;7,539855431;14,01486211
68184;Liebsdorf;10,27959309;7,539855431;14,01486211
85304;VouillÈ-les-Marais;9,621771721;7,417930929;12,48036574
85009;Auchay-sur-VendÈe;9,621771721;7,417930929;12,48036574
85286;La TaillÈe;9,621771721;7,417930929;12,48036574
85111;L'Œle-d'Elle;9,621771721;7,417930929;12,48036574
17218;Marans;11,09828382;8,562124661;14,38567045
85105;Le GuÈ-de-Velluire;9,621771721;7,417930929;12,48036574
85177;Les Velluire-sur-VendÈe;9,621771721;7,417930929;12,48036574
72131;FercÈ-sur-Sarthe;7,890818321;6,289237505;9,900248437
72348;TassillÈ;7,890818321;6,289237505;9,900248437
72346;La Suze-sur-Sarthe;9,087536858;7,258532792;11,37741311
72347;TassÈ;7,890818321;6,289237505;9,900248437
72136;Fontenay-sur-VËgre;7,890818321;6,289237505;9,900248437
72075;ChemirÈ-le-Gaudin;7,890818321;6,289237505;9,900248437
72177;MaignÈ;7,890818321;6,289237505;9,900248437
72107;Crannes-en-Champagne;7,890818321;6,289237505;9,900248437
72237;Pirmil;7,890818321;6,289237505;9,900248437
24025;Bars;8,760393918;7,004442932;10,95654606
24550;Thenon;8,760393918;7,004442932;10,95654606
24172;Les Eyzies;8,760393918;7,004442932;10,95654606
24443;Saint-LÈon-sur-VÈzËre;8,760393918;7,004442932;10,95654606
24019;Azerat;8,760393918;7,004442932;10,95654606
24330;Plazac;8,760393918;7,004442932;10,95654606
24053;Boulazac Isle Manoire;10,85099786;8,67770135;13,56858803
24076;Campagne;8,760393918;7,004442932;10,95654606
24559;Tursac;8,760393918;7,004442932;10,95654606
24036;BerbiguiËres;8,760393918;7,004442932;10,95654606
24416;Saint-Germain-de-BelvËs;8,760393918;7,004442932;10,95654606
24174;Fanlac;8,760393918;7,004442932;10,95654606
24261;Mauzens-et-Miremont;8,760393918;7,004442932;10,95654606
24188;Fossemagne;8,760393918;7,004442932;10,95654606
24356;Rouffignac-Saint-Cernin-de-Reilhac;8,760393918;7,004442932;10,95654606
24156;La Douze;8,760393918;7,004442932;10,95654606
24396;Saint-Cyprien;8,760393918;7,004442932;10,95654606
24326;Peyzac-le-Moustier;8,760393918;7,004442932;10,95654606
24531;Sergeac;8,760393918;7,004442932;10,95654606
24421;Saint-Geyrac;8,760393918;7,004442932;10,95654606
56036;Caudan;10,50347709;8,334303276;13,23722299
29234;RÈdenÈ;9,823526817;7,810020049;12,35613718
56029;Calan;9,823526817;7,810020049;12,35613718
56179;Pont-Scorff;10,31808443;8,187281945;13,0034445
56185;QuÈven;10,6521458;8,461494255;13,40994945
56040;ClÈguer;9,823526817;7,810020049;12,35613718
63023;Auzelles;5,901109138;4,221712879;8,248568783
42045;La Chambonie;5,901109138;4,221712879;8,248568783
42217;La CÙte-Saint-Didier;5,901109138;4,221712879;8,248568783
42321;La Valla-sur-Rochefort;5,901109138;4,221712879;8,248568783
63414;Sauviat;5,901109138;4,221712879;8,248568783
42040;La Chamba;5,901109138;4,221712879;8,248568783
63057;Le Brugeron;5,901109138;4,221712879;8,248568783
63072;Chabreloche;5,901109138;4,221712879;8,248568783
63065;Ceilloux;5,901109138;4,221712879;8,248568783
63468;Vollore-Montagne;5,901109138;4,221712879;8,248568783
42159;NoirÈtable;5,901109138;4,221712879;8,248568783
63015;Aubusson-d'Auvergne;5,901109138;4,221712879;8,248568783
42034;CerviËres;5,901109138;4,221712879;8,248568783
42278;Saint-Priest-la-VÍtre;5,901109138;4,221712879;8,248568783
63334;Saint-Dier-d'Auvergne;5,901109138;4,221712879;8,248568783
42295;Les Salles;5,901109138;4,221712879;8,248568783
63066;Celles-sur-Durolle;5,901109138;4,221712879;8,248568783
63016;Augerolles;5,901109138;4,221712879;8,248568783
63136;Domaize;5,901109138;4,221712879;8,248568783
63125;CourpiËre;6,854799818;4,90196525;9,585600498
63207;Marat;5,901109138;4,221712879;8,248568783
63337;Saint-…loy-la-GlaciËre;5,901109138;4,221712879;8,248568783
63008;Arconsat;5,901109138;4,221712879;8,248568783
63469;Vollore-Ville;5,901109138;4,221712879;8,248568783
56014;BernÈ;10,324554;7,91943177;13,46010906
56057;Le FaouÎt;9,824892532;7,535892551;12,80916794
56104;Lanvaudan;10,324554;7,91943177;13,46010906
56201;Le Saint;10,324554;7,91943177;13,46010906
29071;Guilligomarc'h;10,324554;7,91943177;13,46010906
56131;Meslan;10,324554;7,91943177;13,46010906
56166;Plouay;11,66682689;8,944630338;15,21749301
42248;Saint-Just-en-Chevalet;6,909428221;4,817313188;9,910129667
03113;FerriËres-sur-Sichon;6,909428221;4,817313188;9,910129667
42255;Saint-Marcel-d'UrfÈ;6,909428221;4,817313188;9,910129667
42276;Saint-Priest-la-Prugne;6,909428221;4,817313188;9,910129667
42061;Cherier;6,909428221;4,817313188;9,910129667
63231;La Monnerie-le-Montel;6,909428221;4,817313188;9,910129667
03141;Lavoine;6,909428221;4,817313188;9,910129667
03050;La Chabanne;6,909428221;4,817313188;9,910129667
03165;Le Mayet-de-Montagne;6,909428221;4,817313188;9,910129667
63267;Palladuc;6,909428221;4,817313188;9,910129667
42339;Chausseterre;6,909428221;4,817313188;9,910129667
42282;Saint-Romain-d'UrfÈ;6,909428221;4,817313188;9,910129667
42314;La TuiliËre;6,909428221;4,817313188;9,910129667
63430;Thiers;7,558412084;5,275238851;10,82976427
03125;La Guillermie;6,909428221;4,817313188;9,910129667
46052;Camboulit;8,181125393;6,003791541;11,14809071
46021;BÈduer;8,181125393;6,003791541;11,14809071
46288;Saint-Perdoux;8,181125393;6,003791541;11,14809071
46039;Brengues;8,181125393;6,003791541;11,14809071
12217;Sainte-Croix;8,181125393;6,003791541;11,14809071
46093;Espagnac-Sainte-Eulalie;8,181125393;6,003791541;11,14809071
46157;Larroque-Toirac;8,181125393;6,003791541;11,14809071
46031;Blars;8,181125393;6,003791541;11,14809071
46198;Montbrun;8,181125393;6,003791541;11,14809071
46102;Figeac;9,51785376;6,988107799;12,9633862
46212;Orniac;8,181125393;6,003791541;11,14809071
46254;Saint-Chels;8,181125393;6,003791541;11,14809071
12256;Salvagnac-Cajarc;8,181125393;6,003791541;11,14809071
46332;Viazac;8,181125393;6,003791541;11,14809071
12261;Saujac;8,181125393;6,003791541;11,14809071
46167;Lentillac-du-Causse;8,181125393;6,003791541;11,14809071
46183;Marcilhac-sur-CÈlÈ;8,181125393;6,003791541;11,14809071
12007;Ambeyrac;8,181125393;6,003791541;11,14809071
12140;Martiel;8,181125393;6,003791541;11,14809071
46045;Cajarc;8,181125393;6,003791541;11,14809071
12053;La Capelle-Balaguier;8,181125393;6,003791541;11,14809071
12175;Ols-et-Rinhodes;8,181125393;6,003791541;11,14809071
22241;Plumieux;8,483518324;6,391867392;11,25963333
56227;Saint-Malo-des-Trois-Fontaines;8,483518324;6,391867392;11,25963333
56102;Forges de LanouÈe;8,483518324;6,391867392;11,25963333
56027;BulÈon;8,483518324;6,391867392;11,25963333
56103;Lantillac;8,483518324;6,391867392;11,25963333
56091;Josselin;8,483518324;6,391867392;11,25963333
56189;Radenac;8,483518324;6,391867392;11,25963333
56079;Guillac;8,483518324;6,391867392;11,25963333
56160;Pleugriffet;8,483518324;6,391867392;11,25963333
56071;GuÈhenno;8,483518324;6,391867392;11,25963333
56051;Cruguel;8,483518324;6,391867392;11,25963333
14595;Saint-Jean-de-Livet;9,981880903;7,676120744;12,98024741
61346;Le Renouard;9,981880903;7,676120744;12,98024741
61171;Fontaine-les-Bassets;9,981880903;7,676120744;12,98024741
14141;Castillon-en-Auge;9,981880903;7,676120744;12,98024741
14381;Louvagny;9,981880903;7,676120744;12,98024741
14394;MaiziËres;9,981880903;7,676120744;12,98024741
14735;Vendeuvre;9,981880903;7,676120744;12,98024741
14742;Vicques;9,981880903;7,676120744;12,98024741
14043;Barou-en-Auge;9,981880903;7,676120744;12,98024741
61018;Avernes-Saint-Gourgon;9,981880903;7,676120744;12,98024741
14190;Courcy;9,981880903;7,676120744;12,98024741
14362;Lessard-et-le-ChÍne;9,981880903;7,676120744;12,98024741
61399;Saint-Gervais-des-Sablons;9,981880903;7,676120744;12,98024741
14582;Saint-Germain-de-Livet;9,981880903;7,676120744;12,98024741
14245;Ernes;9,981880903;7,676120744;12,98024741
61123;Coulonces;9,981880903;7,676120744;12,98024741
61316;Ommoy;9,981880903;7,676120744;12,98024741
61291;Montreuil-la-Cambe;9,981880903;7,676120744;12,98024741
14654;Saint-Pierre-en-Auge;9,671532657;7,430685769;12,58814419
14626;Saint-Martin-de-Mailloc;9,981880903;7,676120744;12,98024741
14173;CondÈ-sur-Ifs;9,981880903;7,676120744;12,98024741
14469;Norrey-en-Auge;9,981880903;7,676120744;12,98024741
14371;Livarot-Pays-d'Auge;9,340710554;7,178735106;12,15379484
45213;Montereau;8,444517942;6,440372222;11,07232328
45036;Boismorand;8,444517942;6,440372222;11,07232328
45244;Ouzouer-sur-Loire;8,719628687;6,61923258;11,48651653
45227;Nevoy;8,444517942;6,440372222;11,07232328
45268;Saint-Aignan-le-Jaillard;8,444517942;6,440372222;11,07232328
45218;Le Moulinet-sur-Solin;8,444517942;6,440372222;11,07232328
45283;Saint-Hilaire-sur-Puiseaux;8,444517942;6,440372222;11,07232328
45096;Les Choux;8,444517942;6,440372222;11,07232328
45332;Varennes-Changy;8,768291763;6,703590447;11,46891969
45242;Ouzouer-des-Champs;8,444517942;6,440372222;11,07232328
45280;Saint-Gondon;8,444517942;6,440372222;11,07232328
45180;Langesse;8,444517942;6,440372222;11,07232328
45122;Dampierre-en-Burly;8,444517942;6,440372222;11,07232328
49027;BÈgrolles-en-Mauges;9,131014404;6,985879922;11,93484929
85302;Chanverrie;9,10650217;6,95802466;11,91837998
85097;La GaubretiËre;8,770170376;6,700257617;11,47954195
49260;La Romagne;8,636678725;6,596911345;11,30714292
85198;Saint-Aubin-des-Ormeaux;8,951527306;6,842393861;11,71079051
49301;SËvremoine;9,144253874;6,990179873;11,96212121
44022;Boussay;9,448734864;7,220942134;12,3638424
76055;Baons-le-Comte;9,44166296;7,180621386;12,41466367
76225;…cretteville-lËs-Baons;9,44166296;7,180621386;12,41466367
76041;Les Hauts-de-Caux;9,44166296;7,180621386;12,41466367
76388;Lintot;9,44166296;7,180621386;12,41466367
76531;Rocquefort;9,44166296;7,180621386;12,41466367
76384;Lillebonne;9,389135816;7,132308878;12,36007482
76002;Alvimare;9,44166296;7,180621386;12,41466367
76347;Hautot-le-Vatois;9,44166296;7,180621386;12,41466367
76182;Cliponville;9,44166296;7,180621386;12,41466367
76718;Valliquerville;9,44166296;7,180621386;12,41466367
76253;…toutteville;9,44166296;7,180621386;12,41466367
76715;Trouville;9,44166296;7,180621386;12,41466367
76181;ClÈville;9,44166296;7,180621386;12,41466367
32223;Magnas;7,12536936;5,597489579;9,070296209
32132;Fleurance;7,641941178;5,997624517;9,737065865
32306;Pauilhac;7,12536936;5,597489579;9,070296209
32405;Sainte-Radegonde;7,12536936;5,597489579;9,070296209
32368;Sainte-Christie;7,12536936;5,597489579;9,070296209
32337;PuysÈgur;7,12536936;5,597489579;9,070296209
32078;Castelnau-d'Arbieu;7,12536936;5,597489579;9,070296209
32341;RÈjaumont;7,12536936;5,597489579;9,070296209
32142;Gavarret-sur-Aulouste;7,12536936;5,597489579;9,070296209
32188;Lamothe-Goas;7,12536936;5,597489579;9,070296209
32318;Pis;7,12536936;5,597489579;9,070296209
32441;Taybosc;7,12536936;5,597489579;9,070296209
32350;Roquepine;7,12536936;5,597489579;9,070296209
32457;Urdens;7,12536936;5,597489579;9,070296209
32184;Lalanne;7,12536936;5,597489579;9,070296209
32241;Mas-d'Auvignon;7,12536936;5,597489579;9,070296209
32101;CÈran;7,12536936;5,597489579;9,070296209
32286;Montestruc-sur-Gers;7,12536936;5,597489579;9,070296209
26176;Marsanne;11,74326676;8,476329128;16,26934397
26097;Cliousclat;11,74326676;8,476329128;16,26934397
07191;Rochemaure;11,74326676;8,476329128;16,26934397
07219;Saint-Bauzile;11,74326676;8,476329128;16,26934397
26339;Savasse;11,74326676;8,476329128;16,26934397
26102;Condillac;11,74326676;8,476329128;16,26934397
07260;Saint-Lager-Bressac;11,74326676;8,476329128;16,26934397
26185;Mirmande;11,74326676;8,476329128;16,26934397
07157;Meysse;11,74326676;8,476329128;16,26934397
26312;Saint-Marcel-lËs-Sauzet;11,74326676;8,476329128;16,26934397
07302;Saint-Vincent-de-BarrËs;11,74326676;8,476329128;16,26934397
07076;Cruas;11,55534988;8,338566672;16,01307707
07022;Baix;11,74326676;8,476329128;16,26934397
26287;Roynac;11,74326676;8,476329128;16,26934397
07298;Saint-Symphorien-sous-ChomÈrac;11,74326676;8,476329128;16,26934397
26157;La Laupie;11,74326676;8,476329128;16,26934397
31028;Aurignac;7,070067463;5,378497418;9,293646542
31522;Salerm;7,070067463;5,378497418;9,293646542
65249;Lalanne;7,070067463;5,378497418;9,293646542
31204;Fustignac;7,070067463;5,378497418;9,293646542
31109;CassagnabËre-Tournas;7,070067463;5,378497418;9,293646542
31387;Montoussin;7,070067463;5,378497418;9,293646542
31412;PÈguilhan;7,070067463;5,378497418;9,293646542
31477;Saint-…lix-SÈglan;7,070067463;5,378497418;9,293646542
31363;Montbernard;7,070067463;5,378497418;9,293646542
31172;Esparron;7,070067463;5,378497418;9,293646542
31414;Peyrissas;7,070067463;5,378497418;9,293646542
32365;Cap d'Astarac;7,070067463;5,378497418;9,293646542
31063;Benque;7,070067463;5,378497418;9,293646542
31370;MontÈgut-Bourjac;7,070067463;5,378497418;9,293646542
31415;Peyrouzet;7,070067463;5,378497418;9,293646542
31039;Bachas;7,070067463;5,378497418;9,293646542
31134;Cazeneuve-Montaut;7,070067463;5,378497418;9,293646542
31083;Boussan;7,070067463;5,378497418;9,293646542
31301;Lilhac;7,070067463;5,378497418;9,293646542
31023;Aulon;7,070067463;5,378497418;9,293646542
31468;Saint-AndrÈ;7,070067463;5,378497418;9,293646542
31121;CastÈra-Vignoles;7,070067463;5,378497418;9,293646542
31170;Escanecrabe;7,070067463;5,378497418;9,293646542
31168;Eoux;7,070067463;5,378497418;9,293646542
31349;Mondavezan;7,070067463;5,378497418;9,293646542
31070;Blajan;7,070067463;5,378497418;9,293646542
31119;Castelnau-Picampeau;7,070067463;5,378497418;9,293646542
31436;Pouy-de-Touges;7,070067463;5,378497418;9,293646542
31005;Alan;7,070067463;5,378497418;9,293646542
65404;Sariac-Magnoac;7,070067463;5,378497418;9,293646542
31086;Bouzin;7,070067463;5,378497418;9,293646542
31080;Boulogne-sur-Gesse;7,070067463;5,378497418;9,293646542
31350;Mondilhan;7,070067463;5,378497418;9,293646542
31260;Laffite-ToupiËre;7,070067463;5,378497418;9,293646542
31385;Montmaurin;7,070067463;5,378497418;9,293646542
31309;Lussan-Adeilhac;7,070067463;5,378497418;9,293646542
31386;Montoulieu-Saint-Bernard;7,070067463;5,378497418;9,293646542
31034;Auzas;7,070067463;5,378497418;9,293646542
31482;Saint-Frajou;7,070067463;5,378497418;9,293646542
31193;Le Fousseret;7,070067463;5,378497418;9,293646542
32280;Mont-d'Astarac;7,070067463;5,378497418;9,293646542
31498;Saint-Loup-en-Comminges;7,070067463;5,378497418;9,293646542
31529;Samouillan;7,070067463;5,378497418;9,293646542
31141;Ciadoux;7,070067463;5,378497418;9,293646542
31178;Fabas;7,070067463;5,378497418;9,293646542
31494;Saint-Laurent;7,070067463;5,378497418;9,293646542
31292;Lescuns;7,070067463;5,378497418;9,293646542
31218;Gensac-de-Boulogne;7,070067463;5,378497418;9,293646542
13043;Gignac-la-Nerthe;15,54545833;11,79244597;20,49288802
