INSEE_C;LIBGEO;loypredm2;lwr.IPm2;upr.IPm2
28198;Jallans;11,37240711;9,356696394;13,82236187
28364;Sancheville;11,37240711;9,356696394;13,82236187
28330;Villemaury;11,37240711;9,356696394;13,82236187
28334;Saint-Denis-Lanneray;11,37240711;9,356696394;13,82236187
28389;Thiville;11,37240711;9,356696394;13,82236187
28233;MarbouÈ;11,37240711;9,356696394;13,82236187
28114;Courbehaye;11,37240711;9,356696394;13,82236187
28075;La Chapelle-du-Noyer;11,37240711;9,356696394;13,82236187
28164;Fresnay-l'…vÍque;11,37240711;9,356696394;13,82236187
28411;Villars;11,37240711;9,356696394;13,82236187
28190;Guillonville;11,37240711;9,356696394;13,82236187
28400;Varize;11,37240711;9,356696394;13,82236187
28304;Prasville;11,37240711;9,356696394;13,82236187
28410;Villampuy;11,37240711;9,356696394;13,82236187
28283;Nottonville;11,37240711;9,356696394;13,82236187
28108;Cormainville;11,37240711;9,356696394;13,82236187
28132;Donnemain-Saint-MamËs;11,37240711;9,356696394;13,82236187
28028;Bazoches-en-Dunois;11,37240711;9,356696394;13,82236187
28211;Logron;11,37240711;9,356696394;13,82236187
28406;…ole-en-Beauce;11,37240711;9,356696394;13,82236187
28088;Ch‚teaudun;12,38344945;10,18958002;15,04967035
28274;Moutiers;11,37240711;9,356696394;13,82236187
28296;PÈronville;11,37240711;9,356696394;13,82236187
28422;Les Villages VovÈens;13,08665784;10,76706751;15,90596634
02379;Le HÈrie-la-ViÈville;11,72667675;9,722337192;14,14422734
02548;La Neuville-lËs-Dorengt;11,72667675;9,722337192;14,14422734
02757;Vadencourt;11,72667675;9,722337192;14,14422734
59631;Walincourt-Selvigny;11,72667675;9,722337192;14,14422734
02288;Essigny-le-Petit;11,72667675;9,722337192;14,14422734
02503;Mont-d'Origny;11,72667675;9,722337192;14,14422734
02416;LemÈ;11,72667675;9,722337192;14,14422734
02500;Montbrehain;11,72667675;9,722337192;14,14422734
59412;Montay;11,72667675;9,722337192;14,14422734
02648;Ribemont;11,72667675;9,722337192;14,14422734
02760;La VallÈe-Mul‚tre;11,72667675;9,722337192;14,14422734
