INSEE_C;LIBGEO;loypredm2;lwr.IPm2;upr.IPm2
60666;Ver-sur-Launette;13,52537749;11,67318006;15,6714653
77430;Saint-Pathus;13,52537749;11,67318006;15,6714653
60413;Montagny-Sainte-FÈlicitÈ;13,52537749;11,67318006;15,6714653
60226;»ve;13,52537749;11,67318006;15,6714653
60148;ChËvreville;13,52537749;11,67318006;15,6714653
60619;Silly-le-Long;13,52537749;11,67318006;15,6714653
60341;Lagny-le-Sec;13,52537749;11,67318006;15,6714653
60671;Versigny;13,52537749;11,67318006;15,6714653
60213;Ermenonville;13,52537749;11,67318006;15,6714653
60500;Le Plessis-Belleville;14,47842579;12,49669184;16,77442447
60473;Ognes;13,52537749;11,67318006;15,6714653
77392;Rouvres;13,52537749;11,67318006;15,6714653
60546;RosiËres;13,52537749;11,67318006;15,6714653
77349;Othis;13,52537749;11,67318006;15,6714653
60674;Vieux-Moulin;12,19165497;9,953416021;14,93320992
60279;Gondreville;12,19165497;9,953416021;14,93320992
60184;Croutoy;12,19165497;9,953416021;14,93320992
60203;Duvy;12,19165497;9,953416021;14,93320992
60561;Russy-BÈmont;12,19165497;9,953416021;14,93320992
60274;Glaignes;12,19165497;9,953416021;14,93320992
60552;Rouville;12,19165497;9,953416021;14,93320992
60231;Feigneux;12,19165497;9,953416021;14,93320992
60260;Fresnoy-la-RiviËre;12,19165497;9,953416021;14,93320992
60572;Saint-…tienne-Roilaye;12,19165497;9,953416021;14,93320992
60543;Rocquemont;12,19165497;9,953416021;14,93320992
60579;Saint-Jean-aux-Bois;12,19165497;9,953416021;14,93320992
60430;Morienval;12,19165497;9,953416021;14,93320992
60176;CrÈpy-en-Valois;13,36641783;10,91563527;16,36745102
60491;Pierrefonds;12,19165497;9,953416021;14,93320992
60145;Chelles;12,19165497;9,953416021;14,93320992
60650;Trumilly;12,19165497;9,953416021;14,93320992
95051;Beauchamp;16,99915831;14,59596002;19,79803883
95252;Franconville;17,02007888;14,61703044;19,8181899
01228;Maillat;8,410707771;6,609519416;10,70274566
01017;Argis;8,410707771;6,609519416;10,70274566
01441;Vieu-d'Izenave;8,410707771;6,609519416;10,70274566
01067;Ceignes;8,410707771;6,609519416;10,70274566
01200;Labalme;8,410707771;6,609519416;10,70274566
01206;Lantenay;8,410707771;6,609519416;10,70274566
01155;…vosges;8,410707771;6,609519416;10,70274566
01282;Outriaz;8,410707771;6,609519416;10,70274566
01060;BrÈnod;8,410707771;6,609519416;10,70274566
01076;Chaley;8,410707771;6,609519416;10,70274566
01118;Corbonod;8,410707771;6,609519416;10,70274566
01056;Boyeux-Saint-JÈrÙme;8,410707771;6,609519416;10,70274566
01277;Nivollet-Montgriffon;8,410707771;6,609519416;10,70274566
74029;Bassy;8,410707771;6,609519416;10,70274566
01215;Surjoux-Lhopital;8,410707771;6,609519416;10,70274566
01384;Saint-Rambert-en-Bugey;8,108470413;6,375645147;10,31225718
01068;Cerdon;8,410707771;6,609519416;10,70274566
01187;Haut Valromey;8,410707771;6,609519416;10,70274566
79301;Saint-Vincent-la-Ch‚tre;7,563420807;6,103646179;9,372321499
79111;EnsignÈ;7,563420807;6,103646179;9,372321499
17377;Saint-Ouen-la-ThËne;7,563420807;6,103646179;9,372321499
79083;Chef-Boutonne;7,563420807;6,103646179;9,372321499
17135;CressÈ;7,563420807;6,103646179;9,372321499
79175;Melleran;7,563420807;6,103646179;9,372321499
79085;ChÈrignÈ;7,563420807;6,103646179;9,372321499
17177;Le Gicq;7,563420807;6,103646179;9,372321499
79184;La Mothe-Saint-HÈray;7,563420807;6,103646179;9,372321499
79295;Saint-Romans-lËs-Melle;7,563420807;6,103646179;9,372321499
79061;Celles-sur-Belle;7,563420807;6,103646179;9,372321499
17301;RomaziËres;7,563420807;6,103646179;9,372321499
79251;MarcillÈ;7,563420807;6,103646179;9,372321499
17117;ContrÈ;7,563420807;6,103646179;9,372321499
17162;Fontaine-Chalendray;7,563420807;6,103646179;9,372321499
79087;Chey;7,563420807;6,103646179;9,372321499
79129;Fressines;7,563420807;6,103646179;9,372321499
79185;AigondignÈ;7,563420807;6,103646179;9,372321499
